Code,Country,Discipline,Event,Gender,Medal,Name,NOC,Rank,Sport,Age,F1
1366897,Argentina,VVO,Men Team,Male,Bronze,MENDEZ Nicolas,ARG,3,Volleyball,28,8612
1362766,Argentina,RUG,Men Team,Male,Bronze,MENDY Ignacio,ARG,3,Rugby Sevens,21,8615
1353794,Brazil,VVO,Women Team,Female,Silver,MENEZES OLIVEIRA de SOUZA Ana Cris.,BRA,2,Volleyball,17,8620
1351539,Brazil,FBL,Men Team,Male,Gold,MENINO Gabriel,BRA,1,Football,20,8623
1367081,Denmark,HBL,Men Team,Male,Silver,MENSAH Mads,DEN,2,Handball,29,8625
1348084,United States,WRE,Women's Freestyle 68kg,Female,Gold,MENSAH STOCK Tamyra Mariama,USA,1,Wrestling,28,8626
1326848,Germany,JUD,Mixed Team,Female,Bronze,MENZ Katharina,GER,3,Judo,30,8628
1899278,Dominican Republic,BSB,Baseball Team,Male,Bronze,MERCEDES Cristopher,DOM,3,Baseball/Softball,27,8635
1348964,Australia,ROW,Women's Quadruple Sculls Team,Female,Bronze,MEREDITH Rowena,AUS,3,Rowing,26,8636
1361692,Argentina,HOC,Women Team,Female,Silver,MERINO Delfina,ARG,2,Hockey,31,8640
1332360,Spain,FBL,Men Team,Male,Silver,MERINO Mikel,ESP,2,Football,25,8641
1351050,France,FEN,Men's Foil Team,Male,Gold,MERTINE Julien,FRA,1,Fencing,33,8652
1476569,Netherlands,ROW,Men's Quadruple Sculls Team,Male,Gold,METSEMAKERS Koen,NED,1,Rowing,29,8677
1401985,Belgium,HOC,Men Team,Male,Gold,MEURMANS Augustin Jean J,BEL,1,Hockey,24,8681
1332215,United States,FBL,Women Team,Female,Bronze,MEWIS Kristie,USA,3,Football,30,8683
1332238,United States,FBL,Women Team,Female,Bronze,MEWIS Samantha,USA,3,Football,28,8684
1364573,Hungary,WPO,Men Team,Male,Bronze,MEZEI Tamas,HUN,3,Water Polo,30,8688
1311574,China,ROW,Women's Eight Team,Female,Bronze,MIAO Tian,CHN,3,Rowing,28,8694
1316959,Poland,WRE,Men's Greco-Roman 97kg,Male,Bronze,MICHALIK Tadeusz,POL,3,Wrestling,30,8696
